业务域编号,业务域,流程组编号,流程组名称,流程编号,流程名称,子流程编号,子流程名称,信息流图名称,业务表名称,是否输出业务项,线上线下输出物名称,对比业务表名称,SAP模块代码,SAP口令代码,目前表号,新表号,权威数据源系统1,权威数据源系统2,是否已挂附件,系统名称,操作,数据分布表编号,数据分布表名称,表责任部门,问题或建议,核查结果,来源文件,来源部门
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,结构概念设计数据集(MG1),是,结构概念设计数据集(MG1),一致,,,,报告类无表单,纸质,,,,C,报告类无表单,结构概念设计数据集(MG1),工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,工程关键特性目录,是,工程关键特性目录,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,工程关键特性目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,JCDP容差分析报告,是,JCDP容差分析报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,JCDP容差分析报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,结构概念设计数据集（MG2）,否,结构概念设计数据集（MG2）,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,结构概念设计数据集（MG2）,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,结构概念定义设计报告,是,结构概念定义设计报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,结构概念定义设计报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,系统安装概念设计数据集(MG1),是,系统安装概念设计数据集(MG1),一致,,,,报告类无表单,纸质,,,,C,报告类无表单,系统安装概念设计数据集(MG1),工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,系统安装概念设计数据集（MG2）,否,系统安装概念设计数据集（MG2）,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,系统安装概念设计数据集（MG2）,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,系统安装概念定义设计报告,是,系统安装概念定义设计报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,系统安装概念定义设计报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,重量指标,是,重量指标,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,重量指标,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,质量分布特性报告,是,质量分布特性报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,质量分布特性报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
